trial,start,end,totalDurationMillis,recordsProcessed,throughput,latency_min,latency_95,latency_99,latency_max,latency_avg
1,2019-12-12T23:28:03.824Z,2019-12-12T23:29:49.064Z,105240,369758,3513.4739642721397,21874,93714,93728,93728,63182.75555555556
2,2019-12-12T23:30:10.874Z,2019-12-12T23:31:52.694Z,101820,388115,3811.7756825770966,26514,149793,149799,149799,70668.14646464646
3,2019-12-12T23:32:13.371Z,2019-12-12T23:33:55.278Z,101907,387426,3801.7604286261003,25482,148211,148216,148216,70194.43434343435
4,2019-12-12T23:34:13.599Z,2019-12-12T23:35:55.474Z,101875,361747,3550.8907975460124,26523,146844,146848,146848,70267.24326599327
5,2019-12-12T23:36:14.283Z,2019-12-12T23:37:56.158Z,101875,361935,3552.7361963190183,26018,146687,146692,146692,70151.57744107745
